Address;Text;Stars;Date
Караванная, 1 лит А;Я захожу сюда не очень часто, но когда захожу - здесь стабильно плохо. Сегодня в 12 дня в будний день я стояла в очереди из человек 8-10, чтобы купить себе мороженое. Выбор молочных продуктов не очень, например, полки с творожными сырками почти пустые, йогуртов и творожных масс тоже немного.Здесь большой выбор алкоголя, в основном дешёвых сортов пива и вина.Кассиры не улыбаются, но это нормально, у нас не принято улыбаться в такого уровня супермаркетах.;2;22 сентября 2017
Караванная, 1 лит А;Неожиданное место для магазина. Никогда не думал, что на Кленовой аллее и Манежной площади откроется магазин. Народу не много. Очередей нет. продукты в целом качественные. Обслуживание средненькое. А тыква, что на фото просто великолепная!;4;3 марта 2016
Литейный проспект, 43;Нормальный;1;24 августа 2023
Литейный проспект, 43;Попросили документы, на кассе ничего кроме энергетика не было. Мне 28 лет, можете, пожалуйста, подбирать зрячих кассиров, а не бомжей с помойки. Отвратительно.;5;19 июля 2023
Литейный проспект, 43;Хороший коллектив и директор.;4;9 мая 2023, отредактирован
Литейный проспект, 43;Низкие цены и хорошее качество;5;19 ноября 2022
Литейный проспект, 43;Центр. И отличный магазин.;4;10 ноября 2022, отредактирован
Литейный проспект, 43;"Классический продуктовый семейства ""Пятёрочка"", средний набор продуктов, средние цены, ну и работа персонала, тоже довольно средняя";1;13 августа 2022, отредактирован
Литейный проспект, 43;Магазин весь грязный, раздолбанный, работает одно хамло;5;12 марта 2022
Литейный проспект, 43;Наталья Нечупорак(фамилия возможно не так написана) очень милая и приятная кассир.;4;19 мая 2021
Литейный проспект, 43;Очень хороший магазин. Поставил бы пять звезд, если бы продавали мой любимый VIZIT.;3;4 мая 2021
Литейный проспект, 43;Ценники не везде, где то неправильно стоят. Ну и персонал не особа расположен к покупателю);1;14 февраля 2021
Литейный проспект, 43;Не продали товар, потому что плохая связь с банком и оплата не проходит. Вообще ничего не сделали. Бесит. Как будто не Питер 2020 а сельпо 2003.;4;6 июля 2020
Литейный проспект, 43;Нормальный, хороший, достаточно чистый супермаркет. Удобно, не далеко от дома, самое основное всегда есть;2;18 сентября 2019
Литейный проспект, 43;Поход в этот магазин превращается в игру «угадай реальную цену». Вижу йогурт, на ценнике 29.90, это даже не акция. На кассе оказывается, что стоит он 40. Вижу шоколад по акции. Ценник гласит что-то в районе 55 рублей, Касса отбивает 60 с копейками.И вроде несовпадение всего в 5-10₽, но если учесть, что я иду в магазин с определённой суммой и пытаюсь уложиться в неё, У МЕНЯ НИ РАЗУ НЕ ПОЛУЧИЛОСЬ ЭТО СДЕЛАТЬ. Товаров беру штуки по три каждого- несоответствие выливается в разницу в среднем от 50₽. Надоели.Две звезды: за круглосуточную работу и за то, что из ближайших магазинов тут самый широкий ассортимент.;3;28 марта 2019
